Cell_Number	
24	2.4904E+03	2.0058E+12	1.3253E+07	4.4873E+01	2.2825E-03	2.2825E-03	2.2825E-03	2.2825E-03	2.2825E-03	2.2825E-03	1.0183E+11	2.2825E-03	4.3285E+00	1.7488E+11	0.0000E+00	1.5102E+05	2.2825E-03	2.2825E-03	2.3553E+03	2.2825E-03	2.9493E+06	3.5806E-03	2.2825E-03	9.3549E+00	2.2825E-03	1.2141E+02
25	2.1859E+03	1.9931E+12	4.1546E+06	4.5742E+00	2.2701E-03	2.2701E-03	2.2701E-03	2.2701E-03	2.2701E-03	2.2701E-03	1.0094E+11	2.2701E-03	5.0645E+00	1.7604E+11	0.0000E+00	5.0510E+04	2.2701E-03	2.2701E-03	1.9377E+03	2.2701E-03	9.3618E+05	2.2701E-03	2.2701E-03	1.7609E+01	2.2701E-03	2.2551E+02
26	1.9593E+03	1.9629E+12	3.5486E+06	3.4378E+00	2.2379E-03	2.2379E-03	2.2379E-03	2.2379E-03	2.2379E-03	2.2379E-03	9.9609E+10	2.2379E-03	5.8904E+00	1.7541E+11	0.0000E+00	4.4366E+04	2.2379E-03	2.2379E-03	1.5919E+03	2.2379E-03	8.0930E+05	2.7756E-03	2.2379E-03	2.6469E+01	2.2379E-03	3.3503E+02
27	1.7975E+03	1.9204E+12	3.2602E+06	2.9699E+00	2.1919E-03	2.1919E-03	2.1919E-03	2.1919E-03	2.1919E-03	2.1919E-03	9.8010E+10	2.1919E-03	6.8305E+00	1.7347E+11	0.0000E+00	4.1171E+04	2.1919E-03	2.1919E-03	1.3169E+03	2.1919E-03	7.5265E+05	3.3775E-03	2.1919E-03	3.5027E+01	2.1919E-03	4.3873E+02
28	1.7002E+03	1.8734E+12	2.9516E+06	2.4836E+00	2.1407E-03	2.1407E-03	2.1407E-03	2.1407E-03	2.1407E-03	2.1407E-03	9.6440E+10	2.1407E-03	7.9185E+00	1.7084E+11	0.0000E+00	3.7352E+04	2.1407E-03	2.1407E-03	1.1149E+03	2.1407E-03	6.8936E+05	3.7977E-03	2.1407E-03	4.3056E+01	2.1407E-03	5.3439E+02
29	1.6635E+03	1.8278E+12	2.6348E+06	2.0162E+00	2.0909E-03	2.0909E-03	2.0909E-03	2.0909E-03	2.0909E-03	2.0909E-03	9.5118E+10	2.0909E-03	9.1903E+00	1.6801E+11	0.0000E+00	3.3342E+04	2.0909E-03	2.0909E-03	9.7878E+02	2.0909E-03	6.2153E+05	4.0545E-03	2.0909E-03	5.0717E+01	2.0909E-03	6.2476E+02
30	1.6814E+03	1.7868E+12	2.3690E+06	1.6589E+00	2.0462E-03	2.0462E-03	2.0462E-03	2.0462E-03	2.0462E-03	2.0462E-03	9.4141E+10	2.0462E-03	1.0681E+01	1.6520E+11	0.0000E+00	2.9976E+04	2.0462E-03	2.0462E-03	8.9827E+02	2.0462E-03	5.6307E+05	4.2574E-03	2.0462E-03	5.8295E+01	2.0462E-03	7.1415E+02
31	1.7475E+03	1.7509E+12	2.1752E+06	1.4214E+00	2.0068E-03	2.0068E-03	2.0068E-03	2.0068E-03	2.0068E-03	2.0068E-03	9.3479E+10	2.0068E-03	1.2421E+01	1.6244E+11	0.0000E+00	2.7496E+04	2.0068E-03	2.0068E-03	8.6244E+02	2.0068E-03	5.1943E+05	4.5008E-03	2.0068E-03	6.6050E+01	2.0068E-03	8.0655E+02
32	1.8551E+03	1.7191E+12	2.0390E+06	1.2665E+00	1.9718E-03	1.9718E-03	1.9718E-03	1.9718E-03	1.9718E-03	1.9718E-03	9.3046E+10	1.9718E-03	1.4438E+01	1.5961E+11	0.0000E+00	2.5686E+04	1.9718E-03	1.9718E-03	8.6102E+02	1.9718E-03	4.8769E+05	4.8173E-03	1.9718E-03	7.4191E+01	1.9718E-03	9.0540E+02
33	1.9970E+03	1.6903E+12	1.9365E+06	1.1554E+00	1.9396E-03	1.9396E-03	1.9396E-03	1.9396E-03	1.9396E-03	1.9396E-03	9.2745E+10	1.9396E-03	1.6757E+01	1.5663E+11	0.0000E+00	2.4222E+04	1.9396E-03	1.9396E-03	8.8386E+02	1.9396E-03	4.6253E+05	5.1998E-03	1.9396E-03	8.2878E+01	1.9396E-03	1.0135E+03
